,date,rf,price,shift_1,ret,excess_ret,cumulative_excess_ret,log_cumulative_excess_return
0,2019-12-31,0.0152,61.14,61.66,-0.008433344145312943,-0.023633344145312943,-0.02363334414531293,
1,2020-01-02,0.0151,61.17,61.14,0.0004906771344455535,-0.014609322865554447,-0.03789739985585583,-0.014717089913127417
2,2020-01-03,0.0149,63.0,61.17,0.029916625796959265,0.015016625796959265,-0.023449865131209724,0.01490499245512469
3,2020-01-06,0.015300000000000001,63.27,63.0,0.004285714285714335,-0.011014285714285666,-0.034205867330978745,-0.011075392068689214
4,2020-01-07,0.0151,62.7,63.27,-0.009009009009009012,-0.024109009009009013,-0.0574902067763442,-0.024404388365198607
5,2020-01-08,0.0151,59.65,62.7,-0.04864433811802239,-0.0637443381180224,-0.11756986971514027,-0.06586669676501186
6,2020-01-09,0.0151,59.56,59.65,-0.0015088013411566857,-0.016608801341156686,-0.1322259764464926,-0.0167482739540058
7,2020-01-10,0.0151,59.02,59.56,-0.009066487575554049,-0.02416648757555405,-0.15319702660508694,-0.024463288652058823
8,2020-01-13,0.0154,58.17,59.02,-0.01440189766180958,-0.02980189766180958,-0.17843336215791827,-0.030254999122026394
9,2020-01-14,0.0154,58.34,58.17,0.0029224686264397747,-0.012477531373560226,-0.1886844856570632,-0.012556029426273846
10,2020-01-15,0.0154,57.86,58.34,-0.008227631127871168,-0.023627631127871168,-0.20785394935827717,-0.023911239847646815
11,2020-01-16,0.0152,58.52,57.86,0.011406844106463943,-0.003793155893536057,-0.21085868281881015,-0.0038003681532794986
12,2020-01-17,0.015300000000000001,58.55,58.52,0.0005126452494872527,-0.014787354750512748,-0.22252799542425528,-0.01489777760752059
13,2020-01-21,0.015300000000000001,58.25,58.55,-0.005123825789923094,-0.020423825789923095,-0.2384069482022526,-0.020635276157771554
14,2020-01-22,0.0152,56.76,58.25,-0.025579399141630935,-0.04077939914163094,-0.26946425524500583,-0.04163419837439081
15,2020-01-23,0.0152,55.51,56.76,-0.022022551092318536,-0.037222551092318534,-0.2966566593289136,-0.03793299575334386
16,2020-01-24,0.0151,54.09,55.51,-0.025580976400648436,-0.04068097640064844,-0.3252693531723073,-0.04153159664564443
17,2020-01-27,0.0152,53.09,54.09,-0.018487705675725642,-0.03368770567572564,-0.34799948061303065,-0.034268210965320844
18,2020-01-28,0.0154,53.33,53.09,0.004520625353173759,-0.010879374646826243,-0.3550928385333668,-0.010938987806729084
19,2020-01-29,0.015300000000000001,53.29,53.33,-0.0007500468779298547,-0.016050046877929856,-0.365443628706819,-0.016180243871633027
20,2020-01-30,0.0154,52.19,53.29,-0.020641771439294455,-0.036041771439294455,-0.38831416440631594,-0.03670731667898508
21,2020-01-31,0.0152,51.58,52.19,-0.011688062847288742,-0.026888062847288743,-0.4047612115965552,-0.02725616009069093
22,2020-02-03,0.0154,50.06,51.58,-0.029468786351298876,-0.04486878635129887,-0.4314688536214354,-0.04590655144865374
23,2020-02-04,0.0154,49.59,50.06,-0.009388733519776246,-0.024788733519776247,-0.4455620207067066,-0.02510114788732365
24,2020-02-05,0.0154,50.87,49.59,0.02581165557572079,0.01041165557572079,-0.43978940342820616,0.010357827593034163
25,2020-02-06,0.0154,50.94,50.87,0.001376056614900733,-0.014023943385099267,-0.4476457651182617,-0.014123208026374678
26,2020-02-07,0.015300000000000001,50.34,50.94,-0.011778563015312021,-0.027078563015312022,-0.46260272407428127,-0.02745194313445931
27,2020-02-10,0.0155,49.59,50.34,-0.014898688915375446,-0.030398688915375446,-0.4789388966891174,-0.030870311476763113
28,2020-02-11,0.0154,50.0,49.59,0.008267795926598036,-0.007132204073401965,-0.4826552108126426,-0.007157759825932919
29,2020-02-12,0.0155,51.13,50.0,0.02260000000000005,0.007100000000000051,-0.47898206280941236,0.007074913671961891
30,2020-02-13,0.015600000000000001,51.41,51.13,0.00547623704283188,-0.01012376295716812,-0.4842567249019626,-0.010175356756337406
31,2020-02-14,0.0155,52.03,51.41,0.012059910523244594,-0.0034400894767554063,-0.48603092791533475,-0.0034460201899219056
32,2020-02-18,0.0155,52.1,52.03,0.0013453776667307377,-0.014154622333269262,-0.493305966021674,-0.014255754458915915
33,2020-02-19,0.0155,53.31,52.1,0.023224568138195793,0.007724568138195793,-0.48939197343099106,0.007694886416068636
34,2020-02-20,0.0155,53.77,53.31,0.008628775089101497,-0.006871224910898503,-0.4929004760228568,-0.006894940475875133
35,2020-02-21,0.015300000000000001,53.36,53.77,-0.007625069741491606,-0.022925069741491607,-0.50452576797591,-0.0231919356545065
36,2020-02-24,0.015,51.36,53.36,-0.037481259370314844,-0.052481259370314844,-0.5305288796580738,-0.05390856319246673
37,2020-02-25,0.015,49.78,51.36,-0.030763239875389377,-0.045763239875389376,-0.5520133991528491,-0.04684346209322887
38,2020-02-26,0.015,48.67,49.78,-0.022298111691442333,-0.03729811169144233,-0.5687224534275157,-0.03801148072869742
39,2020-02-27,0.014199999999999999,47.17,48.67,-0.03081980686254366,-0.04501980686254366,-0.5881384852783607,-0.04606467888668986
40,2020-02-28,0.0125,44.83,47.17,-0.0496078015687938,-0.062107801568793794,-0.6137182985085151,-0.06412026362615386
41,2020-03-02,0.011000000000000001,46.78,44.83,0.043497657818425225,0.03249765781842522,-0.6011650479519257,0.03198077739374694
42,2020-03-03,0.009300000000000001,47.27,46.78,0.010474561778537879,0.0011745617785378776,-0.6006965916613051,0.0011738725205167055
43,2020-03-04,0.0070999999999999995,46.78,47.27,-0.010365982652845399,-0.017465982652845397,-0.6076708180645707,-0.017620312583990216
